Name,SFR_NUV_Msun_per_yr,SFR_FUV_Msun_per_yr,SFR_Halpha_Msun_per_yr
Arp298_14_sbt_disk_1_0     ,0.0063617811558223675,0.0037980783019835027,8.206562045357211
Arp298_15_sbt_disk_1_0     ,0.018990391509917517,0.008925484009661231,105.93925549461129
Arp298_16_sbt_disk_1_0     ,0.0313341459913639,0.009115387924760406,10.071689782938396
Arp298_17_sbt_disk_1_0     ,0.009495195754958758,0.0075961566039670055,89.52613140389685
Arp298_18_sbt_disk_1_0     ,0.05981973325624017,0.01709135235892576,11.563791973003344
Arp298_19_sbt_disk_1_0     ,0.004842549835028966,0.0031334145991363895,16.786149638230658
Arp298_2_sbt_disk_1_0      ,0.0063617811558223675,0.0054122615803264915,8.579587592873448
Arp298_20_sbt_disk_1_0     ,0.018990391509917517,0.007691108561516593,49.612397819659506
Arp298_21_sbt_disk_1_0     ,0.016141832783429885,0.011679090778599271,349.1519124751978
Arp298_22_sbt_disk_1_0     ,0.005981973325624017,0.0036081743868843275,8.952613140389685
Arp298_25_sbt_disk_1_0     ,0.0056971174529752535,0.00351322242933474,7.833536497840975
Arp298_26_sbt_disk_1_0     ,0.02753606768938039,0.018990391509917517,865.4192702376697
Arp298_27_sbt_disk_1_0     ,0.02183895023640514,0.016141832783429885,910.1823359396179
Arp298_3_sbt_disk_1_0      ,0.0056971174529752535,0.004937501792578553,8.206562045357211
Arp86_7_sbt_disk_1_0       ,0.012343754481446381,0.009115387924760406,26.857839421169057
Arp298_4_sbt_disk_1_0      ,0.010254811415355456,0.008640628137012468,151.44837229159216
Arp298_5_sbt_disk_1_0      ,0.01993991108541339,0.008450724221913291,77.96233943089351
Arp298_6_sbt_disk_1_0      ,0.04462742004830615,0.015192313207934011,9.698664235422159
Arp298_7_sbt_disk_1_0      ,0.004747597877479379,0.0037980783019835027,22.381532850974214
Arp298_9_sbt_disk_1_0      ,0.010444715330454633,0.007121396816219067,20.889430660909266
Arp72_1_sbt_disk_1_0       ,0.5127405707677728,0.32283665566859776,
Arp72_2_sbt_disk_1_0       ,0.503245375012814,0.313341459913639,
Arp82_1_sbt_disk_1_0       ,0.24687508962892768,0.17281256274024936,
Arp82_10_sbt_disk_1_0      ,0.022788469811901014,0.018040871934421637,
Arp82_11_sbt_disk_1_0      ,0.10254811415355455,0.06551685070921544,
Arp82_13_sbt_disk_1_0      ,0.03228366556685977,0.02563702853838864,
Arp82_14_sbt_disk_1_0      ,0.04367790047281028,0.01709135235892576,
Arp82_15_sbt_disk_1_0      ,0.04082934174632265,0.02563702853838864,
Arp82_17_sbt_disk_1_0      ,0.04557693962380203,0.03418270471785152,
Arp82_18_sbt_disk_1_0      ,0.0740625268886783,0.04842549835028966,
Arp82_19_sbt_disk_1_0      ,0.08545676179462881,0.056021654954256664,
Arp82_2_sbt_disk_1_0       ,0.06931492901119891,0.04177886132181853,
Arp82_20_sbt_disk_1_0      ,0.21554094363756376,0.13388226014491844,
Arp82_21_sbt_disk_1_0      ,0.05127405707677728,0.0313341459913639,
Arp82_22_sbt_disk_1_0      ,0.024687508962892762,0.015192313207934011,
Arp82_3_sbt_disk_1_0       ,0.03987982217082678,0.023737989387396893,
Arp82_4_sbt_disk_1_0       ,0.02563702853838864,0.013293274056942259,
Arp82_5_sbt_disk_1_0       ,0.05127405707677728,0.03703126344433915,
Arp82_6_sbt_disk_1_0       ,0.1481250537773566,0.0892548400966123,
Arp82_7_sbt_disk_1_0       ,0.14147841674888545,0.0892548400966123,
Arp82_8_sbt_disk_1_0       ,0.10919475118202569,0.07881012476615767,
Arp82_9_sbt_disk_1_0       ,0.053173096227769036,0.03228366556685977,
Arp84_1_sbt_disk_1_0       ,0.002943510684037214,0.003418270471785152,9.698664235422159
Arp84_10_sbt_disk_1_0      ,0.02753606768938039,0.02183895023640514,231.27583946006686
Arp84_11_sbt_disk_1_0      ,0.003418270471785152,0.004842549835028966,7.460510950324737
Arp84_12_sbt_disk_1_0      ,0.04272838089731441,0.0351322242933474,65.65249636285769
Arp84_13_sbt_disk_1_0      ,0.02183895023640514,0.018040871934421637,12.682868615552055
Arp84_14_sbt_disk_1_0      ,0.001709135235892576,0.004557693962380203,6.341434307776027
Arp84_15_sbt_disk_1_0      ,0.010444715330454633,0.011394234905950507,15.294047448165713
Arp84_16_sbt_disk_1_0      ,0.036081743868843275,0.02753606768938039,358.1045256155874
Arp84_17_sbt_disk_1_0      ,0.0037031263444339147,0.004177886132181853,6.714459855292264
Arp84_18_sbt_disk_1_0      ,0.02753606768938039,0.026586548113884518,141.74970805617005
Arp84_19_sbt_disk_1_0      ,0.020889430660909265,0.01709135235892576,51.104500009724454
Arp84_2_sbt_disk_1_0       ,0.0023737989387396896,0.0033233185142355647,6.341434307776027
Arp84_20_sbt_disk_1_0      ,0.04557693962380203,0.053173096227769036,488.6634672462704
Arp84_21_sbt_disk_1_0      ,0.016141832783429885,0.015192313207934011,82.06562045357211
Arp84_22_sbt_disk_1_0      ,0.023737989387396893,0.024687508962892762,26.111788326136583
Arp84_23_sbt_disk_1_0      ,0.05697117452975253,0.05222357665227316,246.19686136071635
Arp84_24_sbt_disk_1_0      ,0.007691108561516593,0.00854567617946288,33.572299276461315
Arp84_25_sbt_disk_1_0      ,0.02183895023640514,0.02183895023640514,272.3086496868529
Arp84_26_sbt_disk_1_0      ,0.008830532052111643,0.012343754481446381,149.21021900649478
Arp84_27_sbt_disk_1_0      ,0.020889430660909265,0.026586548113884518,365.5650365659122
Arp84_28_sbt_disk_1_0      ,0.005792069410524842,0.005507213537876078,9.325638687905924
Arp84_29_sbt_disk_1_0      ,0.024687508962892762,0.028485587264876266,440.1701460691595
Arp84_30_sbt_disk_1_0      ,0.007691108561516593,0.009020435967210819,14.174970805617
Arp84_31_sbt_disk_1_0      ,0.024687508962892762,0.02563702853838864,193.9732847084432
Arp84_32_sbt_disk_1_0      ,0.020889430660909265,0.020889430660909265,55.95383212743553
Arp84_33_sbt_disk_1_0      ,0.015192313207934011,0.018990391509917517,104.44715330454633
Arp84_34_sbt_disk_1_0      ,0.008260820306814118,0.011394234905950507,249.92711683587873
Arp84_35_sbt_disk_1_0      ,0.0016141832783429886,0.002183895023640514,7.0874854028085
Arp84_36_sbt_disk_1_0      ,0.008735580094562056,0.010444715330454633,104.07412775703008
Arp84_37_sbt_disk_1_0      ,0.06836540943570305,0.07881012476615767,578.1895986501672
Arp84_38_sbt_disk_1_0      ,0.015192313207934011,0.016141832783429885,440.1701460691595
Arp84_39_sbt_disk_1_0      ,0.002753606768938039,0.0023737989387396896,7.460510950324737
Arp84_4_sbt_disk_1_0       ,0.0054122615803264915,0.005792069410524842,6.714459855292264
Arp84_40_sbt_disk_1_0      ,0.028485587264876266,0.01709135235892576,7.833536497840975
Arp84_41_sbt_disk_1_0      ,0.04082934174632265,0.02563702853838864,74.60510950324739
Arp84_42_sbt_disk_1_0      ,0.020889430660909265,0.016141832783429885,7.833536497840975
Arp84_43_sbt_disk_1_0      ,0.0015192313207934012,0.0018990391509917514,7.0874854028085
Arp84_5_sbt_disk_1_0       ,0.00854567617946288,0.018040871934421637,79.08141607344223
Arp84_6_sbt_disk_1_0       ,0.018040871934421637,0.016141832783429885,23.87363504103916
Arp84_7_sbt_disk_1_0       ,0.0054122615803264915,0.006266829198272779,7.460510950324737
Arp84_8_sbt_disk_1_0       ,0.009495195754958758,0.011394234905950507,19.770354018360557
Arp84_9_sbt_disk_1_0       ,0.014242793632438133,0.01709135235892576,36.92952920410745
